Flag,Description,Type,Part,Quantity,UOM,IsVariableQuantity,MinQuantity,MaxQuantity,OptionGroup,OptionGroupPrompt,IsGroupDefault,PriceAdjustment,IsOneTimeItem,IsStage,StageBOMNumber,ConfigurationSortOrder
Item,Add P-FAUCET-H,Raw Good,P-FAUCET-H,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,47
Item,Add P-FAUCET-I,Raw Good,P-FAUCET-I,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,49
Item,Add PTC-M6-M-6MM,Raw Good,PTC-M6-M-6MM,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,73
,,,,,,,,,,,,,,,,
BOM,N1S-A-SCA,NANO-1000/2000S Screen Post Assembly,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create N1S-A-SCA,Finished Good,N1S-A-SCA,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-SCA-D-R2,Raw Good,N1S-SCA-D-R2,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,66
Item,Add N1S-SCA-E,Raw Good,N1S-SCA-E,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,23
Item,Add N1S-SCA-F-R1,Raw Good,N1S-SCA-F-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,2
Item,Add N1S-SCA-AB,Raw Good,N1S-SCA-AB,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add N1S-SCA-C-R1,Raw Good,N1S-SCA-C-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add NUT-8-M6-10,Raw Good,NUT-8-M6-10,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,51
